Date, Open, High, Low, Close
10/30/07, 1539.42, 1539.42, 1529.55, 1531.02
10/29/07, 1536.92, 1544.67, 1536.43, 1540.98
10/26/07, 1522.17, 1535.53, 1520.18, 1535.28
10/25/07, 1516.15, 1523.24, 1500.46, 1514.40
10/24/07, 1516.61, 1517.23, 1489.56, 1515.88
10/23/07, 1509.30, 1520.01, 1503.61, 1519.59
10/22/07, 1497.79, 1508.06, 1490.40, 1506.33
10/19/07, 1540.00, 1540.00, 1500.26, 1500.63
10/18/07, 1539.29, 1542.79, 1531.76, 1540.08
10/17/07, 1544.44, 1550.66, 1526.01, 1541.24
10/16/07, 1547.81, 1547.81, 1536.29, 1538.53
10/15/07, 1562.25, 1564.74, 1540.81, 1548.71
10/12/07, 1555.41, 1563.03, 1554.09, 1561.80
10/11/07, 1564.72, 1576.09, 1546.72, 1554.41
10/10/07, 1564.98, 1565.42, 1555.46, 1562.47
10/09/07, 1553.18, 1565.26, 1551.82, 1565.15
10/08/07, 1556.51, 1556.51, 1549.00, 1552.58
10/05/07, 1543.84, 1561.91, 1543.84, 1557.59
10/04/07, 1539.91, 1544.02, 1537.63, 1542.84
10/03/07, 1545.80, 1545.84, 1536.34, 1539.59
10/02/07, 1546.96, 1548.01, 1540.37, 1546.63
10/01/07, 1527.29, 1549.02, 1527.25, 1547.04
09/28/07, 1531.24, 1533.74, 1521.99, 1526.75
09/27/07, 1527.32, 1532.46, 1525.81, 1531.38
09/26/07, 1518.62, 1529.39, 1518.62, 1525.42
09/25/07, 1516.34, 1518.27, 1507.13, 1517.21
09/24/07, 1525.75, 1530.18, 1516.15, 1517.73
09/21/07, 1518.75, 1530.89, 1518.75, 1525.75
09/20/07, 1528.69, 1529.14, 1516.42, 1518.75
09/19/07, 1519.75, 1538.74, 1519.75, 1529.03
09/18/07, 1476.63, 1519.89, 1476.63, 1519.78
09/17/07, 1484.24, 1484.24, 1471.82, 1476.65
09/14/07, 1483.95, 1485.99, 1473.18, 1484.25
09/13/07, 1471.47, 1489.58, 1471.47, 1483.95
09/12/07, 1471.10, 1479.50, 1465.75, 1471.56
09/11/07, 1451.69, 1472.48, 1451.69, 1471.49
09/10/07, 1453.50, 1462.25, 1439.29, 1451.70
09/07/07, 1478.55, 1478.55, 1449.07, 1453.55
09/06/07, 1472.03, 1481.49, 1467.41, 1478.55
09/05/07, 1488.76, 1488.76, 1466.34, 1472.29
09/04/07, 1473.96, 1496.40, 1472.15, 1489.42
08/31/07, 1457.61, 1481.47, 1457.61, 1473.99
08/30/07, 1463.67, 1468.43, 1451.25, 1457.64
08/29/07, 1432.01, 1463.76, 1432.01, 1463.76
08/28/07, 1466.72, 1466.72, 1432.01, 1432.36
08/27/07, 1479.36, 1479.36, 1465.98, 1466.79
08/24/07, 1462.34, 1479.40, 1460.54, 1479.37
08/23/07, 1464.05, 1472.06, 1453.88, 1462.50
08/22/07, 1447.03, 1464.86, 1447.03, 1464.07
08/21/07, 1445.55, 1455.32, 1439.76, 1447.12
08/20/07, 1445.94, 1451.75, 1430.54, 1445.55
08/17/07, 1411.26, 1450.33, 1411.26, 1445.94
08/16/07, 1406.64, 1415.97, 1370.60, 1411.27
08/15/07, 1426.15, 1440.78, 1404.36, 1406.70
08/14/07, 1452.87, 1456.74, 1426.20, 1426.54
08/13/07, 1453.42, 1466.29, 1451.54, 1452.92
08/10/07, 1453.09, 1462.02, 1429.74, 1453.64
08/09/07, 1497.21, 1497.21, 1453.09, 1453.09
08/08/07, 1476.22, 1503.89, 1476.22, 1497.49
08/07/07, 1467.62, 1488.30, 1455.80, 1476.71
08/06/07, 1433.04, 1467.67, 1427.39, 1467.67
08/03/07, 1472.18, 1473.23, 1432.80, 1433.06
08/02/07, 1465.46, 1476.43, 1460.58, 1472.20
08/01/07, 1455.18, 1468.38, 1439.59, 1465.81
07/31/07, 1473.90, 1488.30, 1454.25, 1455.27
07/30/07, 1458.93, 1477.88, 1454.32, 1473.91
07/27/07, 1482.44, 1488.53, 1458.95, 1458.95
07/26/07, 1518.09, 1518.09, 1465.30, 1482.66
07/25/07, 1511.03, 1524.31, 1503.73, 1518.09
07/24/07, 1541.57, 1541.57, 1508.62, 1511.04
07/23/07, 1534.06, 1547.23, 1534.06, 1541.57
07/20/07, 1553.19, 1553.19, 1529.20, 1534.10
07/19/07, 1546.13, 1555.20, 1546.13, 1553.08
07/18/07, 1549.20, 1549.20, 1533.67, 1546.17
07/17/07, 1549.52, 1555.32, 1547.74, 1549.37
07/16/07, 1552.50, 1555.90, 1546.69, 1549.52
07/13/07, 1547.68, 1555.10, 1544.85, 1552.50
07/12/07, 1518.74, 1547.92, 1518.74, 1547.70
07/11/07, 1509.93, 1519.34, 1506.10, 1518.76
07/10/07, 1531.85, 1531.85, 1510.01, 1510.12
07/09/07, 1533.27, 1534.26, 1527.45, 1531.85
07/06/07, 1524.96, 1532.40, 1520.47, 1530.44
07/05/07, 1524.86, 1526.57, 1517.72, 1525.40
07/03/07, 1519.12, 1526.01, 1519.12, 1524.87
07/02/07, 1504.66, 1519.45, 1504.66, 1519.43
06/29/07, 1505.70, 1517.53, 1493.61, 1503.35
06/28/07, 1506.32, 1514.84, 1503.41, 1505.71
06/27/07, 1492.62, 1506.80, 1484.18, 1506.34
06/26/07, 1497.68, 1506.12, 1490.54, 1492.89
06/25/07, 1502.56, 1514.29, 1492.68, 1497.74
06/22/07, 1522.19, 1522.19, 1500.74, 1502.56
06/21/07, 1512.50, 1522.90, 1504.75, 1522.19
06/20/07, 1533.68, 1537.32, 1512.36, 1512.84
06/19/07, 1531.02, 1535.85, 1525.67, 1533.70
06/18/07, 1532.90, 1535.44, 1529.31, 1531.05
06/15/07, 1522.97, 1538.71, 1522.97, 1532.91
06/14/07, 1515.58, 1526.45, 1515.58, 1522.97
06/13/07, 1492.65, 1515.70, 1492.65, 1515.67
06/12/07, 1509.12, 1511.33, 1492.97, 1493.00
06/11/07, 1507.64, 1515.53, 1503.35, 1509.12
06/08/07, 1490.71, 1507.76, 1487.41, 1507.67
06/07/07, 1517.36, 1517.36, 1490.37, 1490.72
06/06/07, 1517.20, 1520.27, 1516.66, 1517.38
06/05/07, 1539.12, 1539.12, 1525.62, 1530.95
06/04/07, 1536.28, 1540.53, 1532.31, 1539.18
06/01/07, 1530.62, 1540.56, 1530.62, 1536.34
05/31/07, 1530.19, 1535.56, 1528.26, 1530.62
05/30/07, 1517.60, 1530.23, 1510.06, 1530.23
